"","Address","count","lon","lat"
"1","10th Ave & Dyckman St, New York, NY",37,-73.92287,40.858968
"2","29th Ave & Utopia Pkwy, Queens, NY",12,-73.792298,40.770401
"3","32nd Ave & Clearview Expressway Service Rd, Queens, NY",9,-73.783247,40.77151
"4","34th Ave & 81st St, Queens, NY",6,-73.8794598,40.7543568
"5","3rd Ave & 49th St, New York, NY",1096,-73.971207,40.755187
"6","4th Ave & 41st St, Brooklyn, NY",486,-74.00741,40.65155
"7","Adam Clayton Powell junior blvd & W 148th St, New York, NY",83,-73.9451895,40.8134374
"8","Baily Ave & W 193rd St, Bronx, NY",182,-73.906829,40.87084
"9","Beach Channel Dr & Beach 108th St, Rockaway Park, New York",9001,-73.8148117,40.5897085
"10","Bruckner Blvd & Baisly Ave, Bronx, NY",34,-73.8749094,40.8242436
"11","Bruckner Blvd & Morrison Ave, Bronx, NY",328,-73.8749094,40.8242436
"12","Coney Island Ave & Avenue H, Brooklyn, NY",9,-73.9629214,40.6125273
"13","Edgecombe Ave & 164th St, New York, NY",5,-73.9402941,40.8285306
"14","Flushing Ave & Elliott Pl, Brooklyn, NY",19,-73.9369936,40.7018957
"15","Forrest Ave & Van Name Ave, Staten Island, NY",1,-74.15492,40.62574
"16","Grand Concourse & E 184th St, Bronx, NY",12,-73.90868,40.8467364
"17","Horace Harding Expy & Peck Ave, Queens, NY",8053,-73.766933,40.7462919
"18","Hylan Blvd & Burbank Ave, Staten Island, NY",102,-74.1414662,40.5464579
"19","Hylan Blvd & Midland Ave, Staten Island, NY",1254,-74.10228,40.577952
"20","Hylan Blvd & Tysens Ln, Staten Island, NY",4245,-74.1414662,40.5464579
"21","Kings Hwy & E 92nd St, Brooklyn, NY",4247,-73.92137,40.65635
"22","Linden Blvd & E 98th St, Brooklyn, NY",3,-73.8688164,40.668767
"23","Linden Blvd & Pennsylvania Ave, Brooklyn, NY",214,-73.8688164,40.668767
"24","Linden Blvd & Rockaway Ave, Brooklyn, NY",407,-73.8688164,40.668767
"25","McGuinness Blvd & Driggs Ave, Brooklyn, NY",537,-73.947202,40.722763
"26","Metropolitan Ave and Woodhaven Blvd, Queens, NY",1,-73.8596575,40.7118297
"27","Midland Ave & Mason Ave, Staten Island, NY",488,-74.097627,40.574775
"28","New Dorp Ln & Hylan Blvd, Staten Island, NY",1256,-74.109697,40.570467
"29","Northern Blvd & 106th St, Queens, NY",1848,-73.86278,40.75771
"30","Northern Blvd & 81st St, Queens, NY",35,-73.886268,40.755418
"31","Northern Blvd & Parsons, Queens, NY",8,-73.823498,40.7647
"32","Park Ave & Carlton Ave, Brooklyn, NY",576,-73.97352,40.695912
"33","Park Ave & Washington Ave, Brooklyn, New York",124,-73.967345,40.69569
"34","Pennsylvania Ave & Schroeders Ave, Brooklyn, NY",5178,-73.881557,40.647557
"35","Pennsylvania Ave and Twin Pines Dr, Brooklyn, NY",1933,-73.881964,40.647828
"36","Queens Blvd & 36th St, Queens, NY",1792,-73.8721667,40.7337976
"37","Queens Blvd & 39th St, Queens, NY",623,-73.8721667,40.7337976
"38","Queens Blvd & 58th St, Queens, NY",11528,-73.8721667,40.7337976
"39","Ralph Ave & Beverley Rd, Brooklyn, NY",2759,-73.9188988,40.6347588
"40","Ralph Ave & Clarendon Rd, Brooklyn, NY",5033,-73.9188988,40.6347588
"41","Riverdale Ave & W 254th St, Bronx, NY",15,-73.9017684,40.9168557
"42","Rockland Ave & Cooper Terrace, Staten Island, NY",27,-73.7496,40.9477845
"43","Seaview Ave & Rockaway Pkwy, Brooklyn, NY",15,-73.889576,40.633783
"44","Shore Pkwy & Knapp St, Brooklyn, NY",60,-73.8974638,40.6198966
"45","Shore pkwy & West Ave, Brooklyn, NY",3882,-73.8974638,40.6198966
"46","Soundview Ave & Lacombe Ave, Bronx, NY",1409,-73.860627,40.8161316
"47","Southern Blvd & E 142nd St",12,-73.908169,40.807149
"48","TEST LOCATION",2,-66.106933,18.416282
"49","Union Tpke & Cross Island Pkwy, ",4755,-73.725797,40.741009
"50","University Ave & W Tremont Ave",282,-73.91553,40.85057
"51","University Ave & W Tremont Ave, Bronx, NY",3236,-73.91553,40.850571
"52","Utica Ave & Avenue J, Brooklyn, NY",146,-73.927876,40.628154
"53","Victory Blvd & Fairview Ave, Staten Island, NY",132,-74.118289,40.613418
"54","West End Ave & W 81st St, New York, NY",16,-73.980225,40.785667
"55","West St & Barclay St, New York, NY",117,-74.013431,40.714388
"56","Woodhaven Blvd & 62nd Rd, Queens, NY",6474,-73.8589472,40.7068943
"57","Woodhaven Blvd & Furmanville Ave, Queens NY",5596,-73.8589472,40.7068943
